id,sex,year,week,date,sample_county,north,east,survey_county,m_north,m_east
BI080062,Hona,2012,37,2012-09-10,Dalarnas län,6880553,395001,Dalarnas län,6880841,394250.5
BI060019,Hona,2012,37,2012-09-11,Dalarnas län,6866903,356307,Dalarnas län,6868906.5,355385.5
BI040643,Hona,2012,37,2012-09-16,Dalarnas län,6855006,403252,Dalarnas län,6861991.25,398747
BI080120,Hona,2012,37,2012-09-15,Dalarnas län,6824775,390976,Dalarnas län,6825673.5,393302
BI401081,Hona,2012,37,2012-09-11,Dalarnas län,6863179,368315,Dalarnas län,6858366.666666667,368590.3333333333
BI080097,Hona,2012,37,2012-09-15,Dalarnas län,6853177,399069,Dalarnas län,6855798.5,400720.25
BI400237,Hane,2012,37,2012-09-15,Dalarnas län,6876556,392819,Dalarnas län,6872917.75,396739.75
BI080075,Hane,2012,37,2012-09-14,Dalarnas län,6714666,518820,Dalarnas län,6717643.285714285,509990.78571428574
BI080110,Hona,2012,37,2012-09-16,Dalarnas län,6739902,520625,Dalarnas län,6740906.6,520148.6
BI400252,Hane,2012,37,2012-09-16,Dalarnas län,6718393,413111,Värmlands län,6744090.5,389863.5
BI401081,Hona,2012,37,2012-09-11,Dalarnas län,6862546,368239,Dalarnas län,6858366.666666667,368590.3333333333
BI080127,Hane,2012,37,2012-09-16,Dalarnas län,6766064,426184,Dalarnas län,6766064,426184
BI080064,Hane,2012,37,2012-09-15,Dalarnas län,6781038,447432,Dalarnas län,6780956,446752.6
BI080055,Hona,2012,37,2012-09-15,Dalarnas län,6862893,390438,Dalarnas län,6863607.545454546,391607.45454545453
BI080031,Hane,2012,34,2012-08-21,Dalarnas län,6811567,448297,Dalarnas län,6811567,448297
BI080075,Hane,2012,37,2012-09-15,Dalarnas län,6719417,503793,Dalarnas län,6717643.285714285,509990.78571428574
BI080016,Hona,2012,37,2012-09-14,Dalarnas län,6874539,384466,Dalarnas län,6871298.8,386247.8
BI000020,Hane,2012,36,2012-09-04,Dalarnas län,6833316,385950,Dalarnas län,6831936.25,386493.75
BI040433,Hane,2012,37,2012-09-14,Dalarnas län,6792907,410940,Dalarnas län,6806399.666666667,406705
BI080071,Hona,2012,37,2012-09-14,Dalarnas län,6764304,445986,Dalarnas län,6768779.833333333,449366.6666666667
BI080071,Hona,2012,37,2012-09-16,Dalarnas län,6770036,450827,Dalarnas län,6768779.833333333,449366.6666666667
BI080071,Hona,2012,37,2012-09-15,Dalarnas län,6766984,449800,Dalarnas län,6768779.833333333,449366.6666666667
BI080072,Hona,2012,37,2012-09-16,Dalarnas län,6741326,461210,Dalarnas län,6741399.666666667,464624.6666666667
BI080021,Hona,2012,37,2012-09-13,Dalarnas län,6732053,439092,Dalarnas län,6733391.947368421,443864.5263157895
BI080073,Hane,2012,37,2012-09-15,Dalarnas län,6742078,550904,Dalarnas län,6742920.666666667,547176.1666666666
BI080320,Hane,2012,37,2012-09-16,Dalarnas län,6785997,535411,Gävleborgs län,6790189.666666667,539423
BI080014,Hane,2012,38,2012-09-17,Dalarnas län,6721520,436355,Dalarnas län,6724977.294117647,413678.8823529412
BI080074,Hona,2012,37,2012-09-15,Dalarnas län,6874574,384805,Dalarnas län,6876332,381862
BI080043,Hane,2012,37,2012-09-15,Dalarnas län,6762698,499983,Dalarnas län,6762385.333333333,498977.6666666667
BI080036,Hona,2012,36,2012-09-09,Dalarnas län,6876197,383946,Dalarnas län,6872034,382220.3333333333
BI050224,Hona,2012,37,2012-09-12,Dalarnas län,6796387,404841,Dalarnas län,6801681,402479
BI400230,Hane,2012,37,2012-09-16,Dalarnas län,6769528,382985,Dalarnas län,6772278.461538462,382164.92307692306
BI041446,Hane,2012,34,2012-08-20,Dalarnas län,6775463,466146,Dalarnas län,6775463,466146
BI080075,Hane,2012,37,2012-09-15,Dalarnas län,6714507,518503,Dalarnas län,6717643.285714285,509990.78571428574
BI080076,Hane,2012,37,2012-09-15,Dalarnas län,6799178,519866,Dalarnas län,6799178,519866
BI080077,Hane,2012,37,2012-09-15,Dalarnas län,6683185,570095,Dalarnas län,6683352.5,570503
BI080078,Hane,2012,36,2012-09-05,Dalarnas län,6826072,390520,Dalarnas län,6826072,390520
BI400230,Hane,2012,38,2012-09-17,Dalarnas län,6764323,388412,Dalarnas län,6772278.461538462,382164.92307692306
BI080079,Hona,2012,38,2012-09-18,Dalarnas län,6737779,504484,Dalarnas län,6737779,504484
BI080046,Hona,2012,37,2012-09-16,Dalarnas län,6751770,512179,Dalarnas län,6754227,521502
